infra_id,phase_reconstruction,duree_totale,cout_total
P000494,1,9.68014026457464,2420.0350661436596
P008010,1,37.8782357367241,6818.0824326103375
P008012,1,5.60865150972822,1402.162877432055
P008013,1,41.4379819423978,7458.836749631604
P000476,1,20.4242247894414,3676.360462099452
P008016,1,40.2169292904986,7239.0472722897475
P000470,1,5.14449891829192,1286.1247295729802
P008019,1,16.663666877413,3124.4375395149377
P000464,1,24.293765520616198,4372.877793710916
P000462,1,18.47388010412095,3325.298418741771
P008017,1,8.54452645097224,2136.13161274306
P008018,1,29.4967575375272,7374.1893843818
P007616,1,15.15836488537242,3789.5912213431047
P005317,1,23.90342255106,5975.855637765
P007999,1,84.2288446113708,21057.2111528427
P007485,1,22.59778027023528,4237.083800669115
P005500,1,26.2840698104142,6571.01745260355
P007990,1,37.405722064311,9351.43051607775
P001391,1,38.1796822472991,6872.342804513838
P007689,1,10.2074255715514,2551.8563928878502
P006106,1,25.7739097473108,6443.4774368277
P002717,1,34.6556659144384,6238.019864598912
P007565,1,12.9288427742746,3232.2106935686497
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008003,2,33.9895798122914,8497.394953072851
P008004,2,21.339528418028003,3841.11511524504
P000494,2,9.68014026457464,2420.0350661436596
P000744,2,11.12641541940006,2781.6038548500146
P007686,2,15.18099107917928,3795.24776979482
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008003,2,33.9895798122914,8497.394953072851
P008004,2,21.339528418028003,3841.11511524504
P000494,2,9.68014026457464,2420.0350661436596
P008010,2,37.8782357367241,6818.0824326103375
P008012,2,5.60865150972822,1402.162877432055
P008013,2,41.4379819423978,7458.836749631604
P000476,2,20.4242247894414,3676.360462099452
P008016,2,40.2169292904986,7239.0472722897475
P008020,2,23.5056608390304,5876.415209757601
P007567,2,9.41101173789714,2352.7529344742848
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008003,2,33.9895798122914,8497.394953072851
P008004,2,21.339528418028003,3841.11511524504
P000494,2,9.68014026457464,2420.0350661436596
P008010,2,37.8782357367241,6818.0824326103375
P008012,2,5.60865150972822,1402.162877432055
P008013,2,41.4379819423978,7458.836749631604
P000476,2,20.4242247894414,3676.360462099452
P008016,2,40.2169292904986,7239.0472722897475
P000470,2,5.14449891829192,1286.1247295729802
P008019,2,16.663666877413,3124.4375395149377
P000464,2,24.293765520616198,4372.877793710916
P000629,2,10.62732869735796,2656.83217433949
P007544,2,6.67261822755588,1668.1545568889699
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008003,2,33.9895798122914,8497.394953072851
P008004,2,21.339528418028003,3841.11511524504
P000494,2,9.68014026457464,2420.0350661436596
P000744,2,11.12641541940006,2781.6038548500146
P007458,2,34.4215237402135,6195.87427323843
P006950,2,24.9328660182,4487.9158832759995
P008033,2,152.684134598588,27483.14422774584
P004282,2,12.30296464895322,3075.7411622383047
P004284,2,10.89251289347038,2723.128223367595
P007609,2,15.59225711204486,3898.0642780112153
P005500,2,26.2840698104142,6571.01745260355
P007990,2,37.405722064311,9351.43051607775
P007447,2,14.22675772366815,2560.8163902602673
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008003,2,33.9895798122914,8497.394953072851
P008004,2,21.339528418028003,3841.11511524504
P000494,2,9.68014026457464,2420.0350661436596
P008010,2,37.8782357367241,6818.0824326103375
P008012,2,5.60865150972822,1402.162877432055
P008013,2,41.4379819423978,7458.836749631604
P000476,2,20.4242247894414,3676.360462099452
P008016,2,40.2169292904986,7239.0472722897475
P000470,2,5.14449891829192,1286.1247295729802
P008019,2,16.663666877413,3124.4375395149377
P000633,2,10.3843204827144,2596.0801206786
P007677,2,17.7901781258408,3202.232062651344
P005500,2,26.2840698104142,6571.01745260355
P007991,2,37.544153087973996,6757.94755583532
P007998,2,74.1272680296166,18531.81700740415
P007554,2,43.63452371258825,7854.214268265885
P005100,2,12.51951350613308,3129.87837653327
P000732,2,21.5742772172186,5393.56930430465
P008001,2,19.60362686493784,4900.90671623446
P000719,2,21.396318701628,5349.079675407001
P008005,2,16.80490373868074,4201.225934670185
P008009,2,50.4118214651852,12602.955366296299
